"Date","Time","PT08.S1.CO.","PT08.S2.NMHC.","PT08.S3.NOx.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH"
"10.03.04","18:00:00",1360,1046,1056,1692,1268,13.6,48.9,0.7578
"10.03.04","19:00:00",1292,955,1174,1559,972,13.3,47.7,0.7255
"10.03.04","20:00:00",1402,939,1140,1555,1074,11.9,54,0.7502
"10.03.04","21:00:00",1376,948,1092,1584,1203,11,60,0.7867
"10.03.04","22:00:00",1272,836,1205,1490,1110,11.2,59.6,0.7888
"10.03.04","23:00:00",1197,750,1337,1393,949,11.2,59.2,0.7848
"11.03.04","0:00:00",1185,690,1462,1333,733,11.3,56.8,0.7603
"11.03.04","1:00:00",1136,672,1453,1333,730,10.7,60,0.7702
"11.03.04","2:00:00",1094,609,1579,1276,620,10.7,59.7,0.7648
"11.03.04","3:00:00",1010,561,1705,1235,501,10.3,60.2,0.7517
"11.03.04","4:00:00",1011,527,1818,1197,445,10.1,60.5,0.7465
"11.03.04","5:00:00",1066,512,1918,1182,422,11,56.2,0.7366
"11.03.04","6:00:00",1052,553,1738,1221,472,10.5,58.1,0.7353
"11.03.04","7:00:00",1144,667,1490,1339,730,10.2,59.6,0.7417
"11.03.04","8:00:00",1333,900,1136,1517,1102,10.8,57.4,0.7408
"11.03.04","9:00:00",1351,960,1079,1583,1028,10.5,60.6,0.7691
"11.03.04","10:00:00",1233,827,1218,1446,860,10.8,58.4,0.7552
"11.03.04","11:00:00",1179,762,1328,1362,671,10.5,57.9,0.7352
"11.03.04","12:00:00",1236,774,1301,1401,664,9.5,66.8,0.7951
"11.03.04","13:00:00",1286,869,1162,1537,799,8.3,76.4,0.8393
"11.03.04","14:00:00",1371,1034,983,1730,1037,8,81.1,0.8736
"11.03.04","15:00:00",1310,933,1082,1647,946,8.3,79.8,0.8778
"11.03.04","16:00:00",1292,912,1103,1591,957,9.7,71.2,0.8569
"11.03.04","17:00:00",1383,1020,1008,1719,1104,9.8,67.6,0.8185
"11.03.04","18:00:00",1581,1319,799,2083,1409,10.3,64.2,0.8065
"11.03.04","19:00:00",1776,1488,702,2333,1704,9.7,69.3,0.8319
"11.03.04","20:00:00",1640,1404,743,2191,1654,9.6,67.8,0.8133
"11.03.04","21:00:00",1313,1076,957,1707,1285,9.1,64,0.7419
"11.03.04","22:00:00",965,749,1325,1333,821,8.2,63.4,0.6905
"11.03.04","23:00:00",913,629,1565,1252,552,8.2,60.8,0.6657
"12.03.04","0:00:00",1080,805,1254,1375,816,8.3,58.5,0.6438
"12.03.04","1:00:00",1044,829,1247,1378,832,7.7,59.7,0.6308
"12.03.04","2:00:00",988,718,1396,1304,692,7.1,61.8,0.6276
"12.03.04","3:00:00",889,574,1680,1187,512,7,62.3,0.6261
"12.03.04","4:00:00",831,506,1893,1134,384,6.1,65.9,0.6248
"12.03.04","5:00:00",847,501,1895,1155,394,6.3,65,0.6233
"12.03.04","6:00:00",927,571,1685,1223,487,6.8,62.9,0.6234
"12.03.04","7:00:00",1091,730,1387,1361,748,6.4,65.1,0.6316
"12.03.04","8:00:00",1587,1236,897,1900,1400,7.3,63.1,0.6499
"12.03.04","9:00:00",1545,1353,767,2058,1588,9.2,56.2,0.6561
"12.03.04","10:00:00",1350,1118,912,1712,1237,13.2,41.7,0.632
"12.03.04","11:00:00",1263,1037,969,1598,1167,14.3,38.4,0.6243
"12.03.04","12:00:00",1206,986,1035,1537,959,15,36.5,0.6195
"12.03.04","13:00:00",1252,1016,1008,1593,983,16.1,34.5,0.6262
"12.03.04","14:00:00",1287,1078,949,1660,1061,16.3,35.7,0.656
"12.03.04","15:00:00",1353,1122,922,1740,1139,15.8,37,0.661
"12.03.04","16:00:00",1309,1073,954,1657,1112,15.9,37.2,0.6657
"12.03.04","17:00:00",1274,1041,1006,1610,994,16.9,34.3,0.6549
"12.03.04","18:00:00",1510,1277,812,1910,1410,15.1,39.6,0.6766
"12.03.04","19:00:00",1525,1246,821,1847,1448,14.4,43.4,0.7084
"12.03.04","20:00:00",1843,1610,624,2390,1887,12.9,50.5,0.7478
"12.03.04","21:00:00",1598,1299,752,1941,1627,12.1,53.3,0.7536
"12.03.04","22:00:00",1484,1127,839,1723,1491,11,59.1,0.774
"12.03.04","23:00:00",1677,1346,741,2062,1657,9.7,64.6,0.7771
"13.03.04","0:00:00",1280,964,963,1544,1285,9.5,64.1,0.7597
"13.03.04","1:00:00",1196,873,1071,1463,1144,9.1,63.9,0.7423
"13.03.04","2:00:00",1184,782,1176,1365,1043,8.8,63.9,0.7256
"13.03.04","3:00:00",1172,783,1179,1380,996,7.8,67.5,0.7173
"13.03.04","4:00:00",1147,821,1132,1412,992,7,71.1,0.7158
"13.03.04","5:00:00",978,625,1420,1274,819,8.3,63.6,0.6982
"13.03.04","6:00:00",1100,646,1406,1268,835,7.2,67.5,0.6887
"13.03.04","7:00:00",1112,770,1228,1409,940,6.3,71.9,0.6932
"13.03.04","8:00:00",1336,1043,935,1678,1192,6.5,71.6,0.6945
"13.03.04","9:00:00",1408,1153,830,1777,1411,9.6,59.7,0.7124
"13.03.04","10:00:00",1447,1081,869,1667,1465,12.4,51.2,0.7335
"13.03.04","11:00:00",1542,1184,808,1780,1583,15.6,42.2,0.7451
"13.03.04","12:00:00",1451,1117,875,1679,1387,18.4,33.8,0.709
"13.03.04","13:00:00",1328,1059,987,1600,1101,19.4,31.3,0.695
"13.03.04","14:00:00",1207,924,1088,1488,850,18,34.8,0.7127
"13.03.04","15:00:00",1240,947,1049,1532,947,18.4,33.6,0.7042
"13.03.04","16:00:00",1306,987,1004,1554,1078,17.6,35.1,0.7012
"13.03.04","17:00:00",1326,1000,976,1602,1084,16.7,37.8,0.7117
"13.03.04","18:00:00",1473,1163,831,1779,1395,16.1,41,0.7451
"13.03.04","19:00:00",1609,1286,758,1922,1612,15.8,42.4,0.7569
"13.03.04","20:00:00",1611,1274,754,1915,1697,15.7,44.1,0.7786
"13.03.04","21:00:00",1621,1247,762,1860,1886,15.3,46.8,0.8091
"13.03.04","22:00:00",1444,1089,844,1748,1624,14.6,48.6,0.806
"13.03.04","23:00:00",1418,1010,892,1603,1536,14.7,49.3,0.8193
"14.03.04","0:00:00",1534,1013,889,1611,1535,13.9,53.6,0.8498
"14.03.04","1:00:00",1484,1045,880,1624,1530,14.6,51.5,0.8536
"14.03.04","2:00:00",1367,925,953,1543,1337,12.5,58.9,0.8537
"14.03.04","3:00:00",1344,968,921,1620,1278,11.6,63.4,0.8674
"14.03.04","4:00:00",1130,773,1130,1452,1051,12.1,61.1,0.8603
"14.03.04","5:00:00",1062,691,1272,1377,929,11.5,63.1,0.8533
"14.03.04","6:00:00",1076,618,1395,1333,872,11.6,62.2,0.8473
"14.03.04","7:00:00",1028,615,1384,1340,853,10.4,67.6,0.853
"14.03.04","8:00:00",1155,722,1225,1414,959,11.6,62.7,0.853
"14.03.04","9:00:00",1235,828,1055,1527,1093,12.4,60,0.8627
"14.03.04","10:00:00",1332,923,952,1614,1225,14.5,53.1,0.8728
"14.03.04","11:00:00",1445,1009,878,1696,1355,16.9,46.1,0.8789
"14.03.04","12:00:00",1416,1002,907,1677,1262,19.3,38.3,0.8474
"14.03.04","13:00:00",1281,880,1084,1525,980,21.2,31.4,0.7812
"14.03.04","14:00:00",1207,879,1104,1490,872,21.4,30.2,0.7616
"14.03.04","15:00:00",1258,906,1081,1511,900,21.9,29,0.7525
"14.03.04","16:00:00",1458,1045,974,1646,1099,22.2,28.4,0.7516
"14.03.04","17:00:00",1438,1051,943,1668,1206,21.3,30.8,0.7696
"14.03.04","18:00:00",1478,1055,929,1671,1262,19.7,36.7,0.8307
"14.03.04","19:00:00",1808,1312,753,1993,1698,18.4,41.7,0.8732
"14.03.04","20:00:00",1898,1381,681,2103,1905,17.6,46.1,0.921
"14.03.04","21:00:00",1560,1140,784,1818,1648,16.7,49.6,0.932
"14.03.04","22:00:00",1324,940,924,1587,1423,16.3,51,0.9341
"14.03.04","23:00:00",1349,933,933,1617,1349,14.7,55.9,0.9314
"15.03.04","0:00:00",1239,872,985,1547,1250,14.8,54.7,0.9164
"15.03.04","1:00:00",1239,853,1010,1543,1174,14,57,0.9094
"15.03.04","2:00:00",1224,855,998,1566,1149,13.4,61.3,0.9361
"15.03.04","3:00:00",1078,734,1128,1487,1021,12.6,63.5,0.923
"15.03.04","4:00:00",1078,711,1150,1468,1013,12.3,65.4,0.9351
"15.03.04","5:00:00",1075,703,1156,1464,1010,11.9,67.4,0.9375
"15.03.04","6:00:00",1157,830,1030,1584,1083,11.4,70.5,0.9475
"15.03.04","7:00:00",1314,966,897,1710,1235,11.3,70.2,0.9401
"15.03.04","8:00:00",1797,1451,652,2323,1680,12.4,63.9,0.917
"15.03.04","9:00:00",1961,1701,537,2665,2184,14.8,54.3,0.9076
"15.03.04","10:00:00",1771,1470,622,2262,1973,17.4,45.6,0.8993
"15.03.04","11:00:00",1564,1300,710,2029,1798,19.8,38.5,0.8801
"15.03.04","12:00:00",1430,1120,831,1783,1522,22,34.1,0.8904
"15.03.04","13:00:00",1417,1146,830,1831,1404,23.3,32.2,0.9096
"15.03.04","14:00:00",1400,1162,838,1829,1263,23.9,30,0.8757
"15.03.04","15:00:00",1317,1053,926,1707,1137,24.4,28.9,0.8736
"15.03.04","16:00:00",1318,1033,950,1675,1068,24.4,29.4,0.8848
"15.03.04","17:00:00",1445,1141,857,1824,1252,23.8,31.3,0.9137
"15.03.04","18:00:00",1917,1601,631,2447,1843,22.5,35.4,0.9547
"15.03.04","19:00:00",2040,1754,542,2679,2122,20.4,42.5,1.0086
"15.03.04","20:00:00",1895,1573,565,2443,1992,18.3,52.6,1.0945
"15.03.04","21:00:00",1595,1294,678,2058,1707,16.7,57.4,1.0786
"15.03.04","22:00:00",1439,1159,764,1856,1494,15.7,60.2,1.0654
"15.03.04","23:00:00",1142,852,1008,1547,1164,15.3,61.4,1.058
"16.03.04","0:00:00",1304,1019,852,1731,1272,14.1,65.7,1.0494
"16.03.04","1:00:00",1074,784,1098,1483,1040,14.8,60.6,1.0148
"16.03.04","2:00:00",968,640,1320,1386,867,14.8,59.2,0.9879
"16.03.04","3:00:00",929,608,1376,1364,826,13.6,62.1,0.9636
"16.03.04","4:00:00",941,626,1316,1373,840,12.3,66.2,0.945
"16.03.04","5:00:00",937,585,1412,1348,793,12.8,63.2,0.9283
"16.03.04","6:00:00",1017,681,1246,1418,870,11.2,68.5,0.9081
"16.03.04","7:00:00",1171,770,1162,1467,930,11,66.5,0.8705
"16.03.04","8:00:00",1541,1185,770,1889,1407,11.7,63.7,0.8719
"16.03.04","9:00:00",1539,1287,698,2055,1507,13.6,56.3,0.8743
"16.03.04","10:00:00",1735,1431,628,2211,1843,17.8,42.9,0.8672
"16.03.04","11:00:00",1571,1297,730,1973,1729,21.4,33.3,0.8417
"16.03.04","12:00:00",1452,1250,776,1868,1583,24.4,27.4,0.8231
"16.03.04","13:00:00",1579,1359,724,1998,1671,25.3,26.1,0.8264
"16.03.04","14:00:00",1466,1309,773,1897,1491,25.8,23.2,0.7589
"16.03.04","15:00:00",1280,1136,893,1675,1240,27,20.2,0.7094
"16.03.04","16:00:00",1407,1197,905,1759,1313,28.2,18.6,0.7014
"16.03.04","17:00:00",1389,1173,898,1739,1363,28,19.1,0.7098
"16.03.04","18:00:00",1447,1235,859,1778,1296,23.9,25.7,0.7519
"16.03.04","19:00:00",1551,1271,800,1875,1432,21.3,34.8,0.873
"16.03.04","20:00:00",1474,1173,854,1776,1432,20.4,36.7,0.8704
"16.03.04","21:00:00",1800,1426,700,2106,2034,19,41.3,0.9007
"16.03.04","22:00:00",1379,1101,818,1710,1602,17.9,45.9,0.9342
"16.03.04","23:00:00",1201,943,935,1560,1362,16.7,48.9,0.9226
"17.03.04","0:00:00",1205,925,922,1547,1314,15.5,52.9,0.9271
"17.03.04","1:00:00",1072,784,1066,1442,1114,15.5,51.9,0.9059
"17.03.04","2:00:00",998,714,1169,1383,992,14.1,55.6,0.891
"17.03.04","3:00:00",933,625,1292,1332,884,13.1,57.9,0.8666
"17.03.04","4:00:00",883,577,1396,1303,808,12.7,57.9,0.8447
"17.03.04","5:00:00",869,554,1460,1268,667,11.8,58,0.8026
"17.03.04","6:00:00",891,576,1417,1289,733,11.9,57.4,0.7978
"17.03.04","7:00:00",1173,878,1038,1556,1052,9.9,65.2,0.7956
"17.03.04","8:00:00",1587,1334,702,1999,1534,11.1,60.2,0.7958
"17.03.04","9:00:00",1852,1696,553,2535,1931,14.1,50,0.802
"17.03.04","10:00:00",1522,1331,703,2026,1734,17.7,40.1,0.8048
"17.03.04","11:00:00",1438,1161,819,1782,1595,21.1,33.4,0.8265
"17.03.04","12:00:00",1393,1067,905,1654,1490,24.3,28.3,0.8471
"17.03.04","13:00:00",1452,1152,861,1747,1508,25.6,25.6,0.8254
"17.03.04","14:00:00",1389,1108,887,1712,1334,25.9,25.9,0.8503
"17.03.04","15:00:00",1207,994,1013,1520,1045,26.8,18.7,0.65
"17.03.04","16:00:00",1365,1154,940,1679,1221,29.3,15.8,0.6309
"17.03.04","17:00:00",1247,1060,1032,1525,1069,28.5,14.9,0.5708
"17.03.04","18:00:00",1557,1478,793,1981,1569,25.9,16,0.5237
"17.03.04","19:00:00",1973,1737,617,2414,2306,23.1,26.5,0.7403
"17.03.04","20:00:00",1975,1667,597,2416,2359,20.5,38.2,0.9133
"17.03.04","21:00:00",1795,1485,653,2174,2050,19.1,42.6,0.9294
"17.03.04","22:00:00",1444,1150,770,1727,1727,17.2,44.1,0.8558
"17.03.04","23:00:00",1488,1171,731,1778,1705,16,50.9,0.9206
"18.03.04","0:00:00",1371,1083,796,1669,1551,14.8,53.9,0.9024
"18.03.04","1:00:00",1161,904,947,1502,1240,14.3,55.4,0.8975
"18.03.04","2:00:00",1064,787,1057,1407,1115,14.8,52.1,0.8686
"18.03.04","3:00:00",970,687,1196,1351,969,13.9,53.9,0.8501
"18.03.04","4:00:00",954,645,1260,1334,925,11.6,61.9,0.8442
"18.03.04","5:00:00",931,623,1293,1307,828,12,58.9,0.8233
"18.03.04","6:00:00",938,650,1251,1333,893,10.9,62.1,0.8113
"18.03.04","7:00:00",1166,885,1005,1551,1075,10.6,63.3,0.8067
"18.03.04","8:00:00",1643,1384,667,2094,1610,11.5,60,0.8117
"18.03.04","9:00:00",1934,1682,541,2468,2051,14.3,50.6,0.8186
"18.03.04","10:00:00",1617,1333,686,2010,1819,17.8,40.5,0.821
"18.03.04","11:00:00",1473,1127,831,1752,1568,20.8,34.4,0.8365
"18.03.04","12:00:00",1379,1068,899,1663,1374,23.8,28.2,0.8219
"18.03.04","13:00:00",1385,1056,891,1648,1268,24.2,28.7,0.8515
"18.03.04","14:00:00",1379,1087,901,1660,1144,25.2,24.9,0.7829
"18.03.04","15:00:00",1322,1129,934,1639,1109,27,17.8,0.6275
"18.03.04","16:00:00",1496,1205,822,1767,1347,27.1,23.1,0.818
"18.03.04","17:00:00",1409,1131,873,1689,1206,25.8,23.9,0.7832
"18.03.04","18:00:00",1513,1338,764,1957,1397,23,26.8,0.7446
"18.03.04","19:00:00",1667,1464,683,2118,1588,20.7,31.1,0.7523
"18.03.04","20:00:00",1667,1453,684,2051,1569,18.6,36.2,0.7676
"18.03.04","21:00:00",1430,1121,814,1732,1322,16,48.4,0.8768
"18.03.04","22:00:00",1333,989,885,1621,1194,14.5,57.8,0.9456
"18.03.04","23:00:00",1262,911,948,1545,1062,13.1,64.2,0.9606
"19.03.04","0:00:00",1287,936,918,1606,1040,12,69.7,0.9735
"19.03.04","1:00:00",1134,840,1021,1501,917,11.9,71.1,0.9915
"19.03.04","2:00:00",999,688,1229,1380,594,12.5,69.3,1.0029
"19.03.04","3:00:00",961,622,1382,1301,430,12.5,67.5,0.9768
"19.03.04","4:00:00",934,569,1440,1280,397,12.3,67.7,0.9665
"19.03.04","5:00:00",913,525,1620,1260,370,12.5,66.8,0.962
"19.03.04","6:00:00",969,607,1373,1324,438,12.3,66.3,0.9487
"19.03.04","7:00:00",1182,845,1054,1539,704,12.4,64.9,0.9332
"19.03.04","8:00:00",1740,1372,671,2144,1476,13,61.6,0.9209
"19.03.04","9:00:00",1819,1582,575,2456,1716,13.6,58.8,0.912
"19.03.04","10:00:00",1427,1275,701,1980,1398,13.9,57.1,0.9032
"19.03.04","11:00:00",1390,1191,759,1879,1268,14.5,54.4,0.8917
"19.03.04","12:00:00",1283,1117,813,1751,1188,15.5,50.1,0.8744
"19.03.04","13:00:00",1304,1157,793,1801,1171,16.1,47.6,0.8655
"19.03.04","14:00:00",1364,1202,771,1875,1250,16.3,47.1,0.864
